Row Labels,Acb,Act,At,Ba,Bg,Bl,Bp,Cw,Dr,Ep,Fd,Hm,Hw,La,Lt,Lw,Mb,Pa,Pl,Pw,Py,Qg,Ra,Sb,Se,Ss,Sw,Sx,Sxs,Yc
CWHdm/11,,,,,,,,1,,,,,,,,,,,3,,,,,,,,,,,
CWHdm/12,,1,,,,,,3,1,1,,,1,,,,1,,,1,,,,,,1,,,,
CWHdm/13,,3,,,3,,,3,3,3,2,,,,,,3,,,,,,,,,,,,,
CWHdm/14,,3,,,3,,,3,3,3,,,,,,,3,,,,,,,,,,,,,
CWHdm/15,,1,,,,,,3,1,1,,,,,,,1,,,,,,,,,,,,,
CWHds1/01,,1,,,,,,1,3,1,3,,1,,,,1,,,1,,,,,,,,,,
CWHds1/02,,,,,,,,,,,2,,,,,,,,3,,,,,,,,,,,
CWHds1/03,,1,,,,,,1,1,1,3,,1,,,,1,,2,,2,,,,,,,,,
CWHds1/04,,1,,,,,,1,1,1,3,,,,,,3,,,1,1,,,,,,,,,
CWHds1/05,,3,,,,,1,1,3,1,3,,1,,,,3,,,1,,,,,2,,,,,
CWHds1/06,,1,,,,,,1,3,1,2,,3,,,,1,,,,,,,,,,,,,
CWHds1/07,,3,,,3,,0,3,3,1,3,,1,,,,3,,,,,,,,,,,,,
CWHds1/08,,3,,,3,,,3,3,1,,,,,,,3,,,,,,,,,3,,,,
CWHds1/09,,3,,,2,,,2,0,1,,,,,,,3,,,,,,,,,,,,,
CWHds1/10,,1,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,
CWHds1/11,,,,,,,,1,,,,,,,,,,,3,,,,,,,,,,,
CWHds1/12,,1,,,,,,3,1,1,,,,,,,1,,1,,,,,,,,,,,
CWHds2/01,,1,,,,,,1,1,1,3,,2,,,,1,,,,,,,,,,,,,
CWHds2/02,,,,,,,,,,,1,,,,,,,,3,,,,,,,,,,,
CWHds2/03,,1,,,,,,1,1,1,3,,1,,,,1,,2,,,,,,,,,,,
CWHds2/04,,1,,,,,,1,1,1,3,,,,,,3,,2,,,,,,,,,,,
CWHds2/05,,3,,,,,,1,3,1,3,,1,,,,3,,,,,,,,1,1,,,,
CWHds2/06,,1,,,,,,3,3,1,2,,3,,,,1,,,,,,,,,,,,,
CWHds2/07,,3,,,,,,3,3,1,3,,1,,,,3,,,,,,,,,2,,,,
CWHds2/08,,3,,,,,,3,3,1,,,,,,,3,,,,,,,,,1,,,,
CWHds2/09,,3,,,,,,2,3,1,,,,,,,3,,,,,,,,,1,,,,
